City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,letterkenny,54.95,-7.7333,8.9,95,100,1.77,IE,1749265519
223,kapuskasing,49.4169,-82.4331,13.05,71,0,2.06,CA,1749265521
224,aginskoye,51.1,114.53,20.03,27,16,6.28,RU,1749265523
225,shanwei,22.782,115.3475,29.21,77,48,3.14,CN,1749265524
226,touros,-5.1989,-35.4608,23.86,91,9,3.85,BR,1749265525
227,mandalgovi,45.7625,106.2708,20.35,23,9,2.46,MN,1749265527
228,cukai,4.25,103.4167,30.27,72,55,1.2,MY,1749265531
229,tommot,58.9564,126.2925,8.28,96,100,2.34,RU,1749265532
230,capayan,-28.761,-66.0502,13.42,77,2,1.85,AR,1749265533
231,ulsteinvik,62.3432,5.8487,5.73,92,60,2.12,NO,1749265534
232,sirvan,39.9379,48.9286,19.58,57,100,2.96,AZ,1749265535
233,papao,-17.75,-149.55,25.82,82,100,7.97,PF,1749265537
234,ujae,8.9322,165.7642,27.9,74,18,1.04,MH,1749265538
235,fort mcmurray,56.7268,-111.381,13.77,88,75,6.17,CA,1749265540
236,carnarvon,-24.8667,113.6333,23.48,35,0,7.0,AU,1749265541
237,quellon,-43.1167,-73.6167,6.98,91,100,1.5,CL,1749265542
238,partapur,23.6,74.1667,33.9,38,0,5.41,IN,1749265543
239,goure,13.9835,10.2704,28.32,19,1,2.38,NE,1749265544
240,vernon,50.2581,-119.2691,24.96,40,99,1.03,CA,1749265267
241,at taj,24.2049,23.2857,24.36,21,0,3.51,LY,1749265546
242,medianeira,-25.2953,-54.0939,17.22,96,82,1.07,BR,1749265547
243,guiglo,6.5456,-7.4966,21.66,100,86,0.94,CI,1749265548
244,sibut,5.718,19.0739,21.27,84,12,0.94,CF,1749265549
245,bairnsdale,-37.8333,147.6167,13.92,60,100,1.79,AU,1749265551
246,nuku'alofa,-21.1333,-175.2,26.19,78,75,6.69,TO,1749265552
247,chibougamau,49.9168,-74.3659,13.79,54,100,3.09,CA,1749265553
248,dara,15.3484,-15.4799,25.68,44,20,4.11,SN,1749265554
249,tralee,52.2704,-9.7026,10.31,93,94,1.28,IE,1749265555
